2118371 data samples found
Train Epoch: 0 [43300/52959 (0.01789950020611286)]
Train Epoch: 0 [43400/52959 (0.00632709264755249)]
Train Epoch: 0 [43500/52959 (0.013540472835302353)]
Train Epoch: 0 [43600/52959 (0.015577099286019802)]
Train Epoch: 0 [43700/52959 (0.011352515779435635)]
Train Epoch: 0 [43800/52959 (0.007019279524683952)]
Train Epoch: 0 [43900/52959 (0.005967358592897654)]
Train Epoch: 0 [44000/52959 (0.004306751303374767)]
Train Epoch: 0 [44100/52959 (0.009185933507978916)]
Train Epoch: 0 [44200/52959 (0.00785536877810955)]
Train Epoch: 0 [44300/52959 (0.0067923967726528645)]
Train Epoch: 0 [44400/52959 (0.008806070312857628)]
Train Epoch: 0 [44500/52959 (0.0042465608566999435)]
Train Epoch: 0 [44600/52959 (0.011270344257354736)]
Train Epoch: 0 [44700/52959 (0.005074020940810442)]
Train Epoch: 0 [44800/52959 (0.006224516779184341)]
Train Epoch: 0 [44900/52959 (0.007038782816380262)]
Train Epoch: 0 [45000/52959 (0.008639791049063206)]
Train Epoch: 0 [45100/52959 (0.010750984773039818)]
Train Epoch: 0 [45200/52959 (0.007836226373910904)]
Train Epoch: 0 [45300/52959 (0.006192355882376432)]
Train Epoch: 0 [45400/52959 (0.004463197663426399)]
Train Epoch: 0 [45500/52959 (0.01664545200765133)]
Train Epoch: 0 [45600/52959 (0.00793871283531189)]
Train Epoch: 0 [45700/52959 (0.007886066101491451)]
Train Epoch: 0 [45800/52959 (0.010502705350518227)]
Train Epoch: 0 [45900/52959 (0.0040002260357141495)]
Train Epoch: 0 [46000/52959 (0.014629488810896873)]
Train Epoch: 0 [46100/52959 (0.006111376918852329)]
Train Epoch: 0 [46200/52959 (0.004481876268982887)]
Train Epoch: 0 [46300/52959 (0.0085747754201293)]
Train Epoch: 0 [46400/52959 (0.006893517915159464)]
Train Epoch: 0 [46500/52959 (0.006930551026016474)]
Train Epoch: 0 [46600/52959 (0.006091554649174213)]
Train Epoch: 0 [46700/52959 (0.004970903508365154)]
Train Epoch: 0 [46800/52959 (0.009329309687018394)]
Train Epoch: 0 [46900/52959 (0.007369253318756819)]
Train Epoch: 0 [47000/52959 (0.012966925278306007)]
Train Epoch: 0 [47100/52959 (0.006865269038826227)]
Train Epoch: 0 [47200/52959 (0.008467543870210648)]
