2118371 data samples found
Train Epoch: 0 [45400/169469 (0.027322446927428246)]
Train Epoch: 0 [45500/169469 (0.0366271510720253)]
Train Epoch: 0 [45600/169469 (0.07822267711162567)]
Train Epoch: 0 [45700/169469 (0.03377160429954529)]
Train Epoch: 0 [45800/169469 (0.06715525686740875)]
Train Epoch: 0 [45900/169469 (0.024692734703421593)]
Train Epoch: 0 [46000/169469 (0.018221916630864143)]
Train Epoch: 0 [46100/169469 (0.05870060995221138)]
Train Epoch: 0 [46200/169469 (0.04592173546552658)]
Train Epoch: 0 [46300/169469 (0.04334566369652748)]
Train Epoch: 0 [46400/169469 (0.029981190338730812)]
Train Epoch: 0 [46500/169469 (0.024550417438149452)]
Train Epoch: 0 [46600/169469 (0.03691351041197777)]
Train Epoch: 0 [46700/169469 (0.06070452556014061)]
Train Epoch: 0 [46800/169469 (0.05178285762667656)]
Train Epoch: 0 [46900/169469 (0.04999476298689842)]
Train Epoch: 0 [47000/169469 (0.04565442353487015)]
Train Epoch: 0 [47100/169469 (0.04731590673327446)]
Train Epoch: 0 [47200/169469 (0.017797280102968216)]
Train Epoch: 0 [47300/169469 (0.045706089586019516)]
Train Epoch: 0 [47400/169469 (0.03700313717126846)]
Train Epoch: 0 [47500/169469 (0.028731858357787132)]
Train Epoch: 0 [47600/169469 (0.03545086085796356)]
Train Epoch: 0 [47700/169469 (0.06672397255897522)]
Train Epoch: 0 [47800/169469 (0.07569698244333267)]
Train Epoch: 0 [47900/169469 (0.03022831119596958)]
Train Epoch: 0 [48000/169469 (0.022912120446562767)]
