nohup: ignoring input
2118371 data samples found
Train Epoch: 0 [42600/52959 (0.009521925821900368)]
Train Epoch: 0 [42700/52959 (0.008855275809764862)]
Train Epoch: 0 [42800/52959 (0.006592485122382641)]
Train Epoch: 0 [42900/52959 (0.008782777935266495)]
Train Epoch: 0 [43000/52959 (0.01727033033967018)]
Train Epoch: 0 [43100/52959 (0.009075465612113476)]
Train Epoch: 0 [43200/52959 (0.010833228006958961)]
Train Epoch: 0 [43300/52959 (0.019072748720645905)]
Train Epoch: 0 [43400/52959 (0.008050546050071716)]
Train Epoch: 0 [43500/52959 (0.011082286946475506)]
Train Epoch: 0 [43600/52959 (0.015580005012452602)]
Train Epoch: 0 [43700/52959 (0.011110253632068634)]
Train Epoch: 0 [43800/52959 (0.006029004231095314)]
Train Epoch: 0 [43900/52959 (0.008150636218488216)]
Train Epoch: 0 [44000/52959 (0.006553163286298513)]
Train Epoch: 0 [44100/52959 (0.009113073348999023)]
Train Epoch: 0 [44200/52959 (0.007307459134608507)]
Train Epoch: 0 [44300/52959 (0.007598554249852896)]
Train Epoch: 0 [44400/52959 (0.007410677149891853)]
Train Epoch: 0 [44500/52959 (0.005929077975451946)]
Train Epoch: 0 [44600/52959 (0.012202193960547447)]
Train Epoch: 0 [44700/52959 (0.007290447596460581)]
Train Epoch: 0 [44800/52959 (0.007096338085830212)]
Train Epoch: 0 [44900/52959 (0.005238811951130629)]
Train Epoch: 0 [45000/52959 (0.008731689304113388)]
Train Epoch: 0 [45100/52959 (0.010694247670471668)]
Train Epoch: 0 [45200/52959 (0.0074004861526191235)]
Train Epoch: 0 [45300/52959 (0.0060974243097007275)]
Train Epoch: 0 [45400/52959 (0.00578309828415513)]
Train Epoch: 0 [45500/52959 (0.013744640164077282)]
Train Epoch: 0 [45600/52959 (0.008876312524080276)]
Train Epoch: 0 [45700/52959 (0.00894851516932249)]
Train Epoch: 0 [45800/52959 (0.010993209667503834)]
Train Epoch: 0 [45900/52959 (0.0063214609399437904)]
Train Epoch: 0 [46000/52959 (0.012045416049659252)]
Train Epoch: 0 [46100/52959 (0.007103810086846352)]
Train Epoch: 0 [46200/52959 (0.00595578970387578)]
Train Epoch: 0 [46300/52959 (0.007099872455000877)]
Train Epoch: 0 [46400/52959 (0.0066296253353357315)]
Train Epoch: 0 [46500/52959 (0.0072839329950511456)]
Train Epoch: 0 [46600/52959 (0.0061340415850281715)]
Train Epoch: 0 [46700/52959 (0.006522053387016058)]
Train Epoch: 0 [46800/52959 (0.008101584389805794)]
